gene_name,wormbase_id,uniprot_id,anesthesia_rationale,predicted_oligomer_state,structure_priority,AF_DB_url_if_exists,mammalian_homolog_PDB,pocket_compartment,mechanism_class,notes,verified_uniprot_id,verified_wormbase_seq_id,verified_protein_name,alphafold_pdb_path,alphafold_global_plddt,alphafold_high_conf_frac,uniprot_id_correction_status
UNC-49,WBGene00006765,Q17791,GABA-A homolog; primary inhibitory receptor; isoflurane potentiation expected,homopentamer or heteropentamer,high,https://alphafold.ebi.ac.uk/entry/Q17791,6X3X,membrane_embedded,gaba_potentiation,UNC-49B is the inhibitory subunit; sometimes co-assembles with UNC-49C,G5EBQ0,T21C12.1b,Gamma-aminobutyric acid receptor subunit beta,artifacts/structures/UNC-49_G5EBQ0.pdb,77.31,0.464,CORRECTED:Q17791->G5EBQ0
EXP-1,WBGene00001388,O44185,GABA-gated cation channel (excitatory GABA); exotic subtype,homopentamer,medium,https://alphafold.ebi.ac.uk/entry/O44185,6X3X,membrane_embedded,gaba_potentiation,Cation-conducting GABA receptor; may potentiate differently from UNC-49,G5ECJ0,H35N03.1,Gamma-aminobutyric acid receptor exp-1,artifacts/structures/EXP-1_G5ECJ0.pdb,72.56,0.288,CORRECTED:O44185->G5ECJ0
AVR-14,WBGene00000242,O17127,GluCl alpha subunit; ivermectin / glutamate-gated chloride; mammalian homolog GlyR,homopentamer or heteropentamer,high,https://alphafold.ebi.ac.uk/entry/O17127,3RHW,membrane_embedded,glucl_potentiation,Hibbs 2011 PDB 3RHW is a GluCl from C. elegans; direct structural anchor,Q8IFY7,B0207.12c,Neurotransmitter-gated ion-channel ligand-binding domain-containing protein,artifacts/structures/AVR-14_Q8IFY7.pdb,85.44,0.603,CORRECTED:O17127->Q8IFY7
AVR-15,WBGene00000243,P34367,GluCl alpha subunit; pharyngeal pumping,homopentamer or heteropentamer,high,https://alphafold.ebi.ac.uk/entry/P34367,3RHW,membrane_embedded,glucl_potentiation,Co-expresses with AVR-14 in some neurons,G5ECH3,R11G10.1a,Ig-like domain-containing protein,artifacts/structures/AVR-15_G5ECH3.pdb,67.88,0.371,CORRECTED:P34367->G5ECH3
GLC-1,WBGene00001623,O18219,GluCl alpha subunit; locomotion,homopentamer,medium,https://alphafold.ebi.ac.uk/entry/O18219,3RHW,membrane_embedded,glucl_potentiation,,G5EBR3,F11A5.10,Glutamate-gated chloride channel alpha,artifacts/structures/GLC-1_G5EBR3.pdb,82.06,0.549,CORRECTED:O18219->G5EBR3
GLC-2,WBGene00001624,Q17738,GluCl beta subunit,homopentamer or heteropentamer,medium,https://alphafold.ebi.ac.uk/entry/Q17738,3RHW,membrane_embedded,glucl_potentiation,,Q17328,F25F8.2,Glutamate-gated chloride channel subunit beta,artifacts/structures/GLC-2_Q17328.pdb,86.38,0.673,CORRECTED:Q17738->Q17328
ACR-16,WBGene00000043,Q21306,nAChR alpha subunit; major NMJ receptor; halothane antagonism,homopentamer,high,https://alphafold.ebi.ac.uk/entry/Q21306,7QL5,membrane_embedded,nachr_antagonism,ACR-16 is the major homomeric nAChR at C. elegans NMJ,P48180,F25G6.3,Acetylcholine receptor subunit alpha-type acr-16,artifacts/structures/ACR-16_P48180.pdb,82.19,0.482,CORRECTED:Q21306->P48180
ACR-2,WBGene00000038,Q9XW79,nAChR alpha subunit; ventral cord motor neurons,heteropentamer with UNC-29/-38/-63/LEV-1,medium,https://alphafold.ebi.ac.uk/entry/Q9XW79,7QL5,membrane_embedded,nachr_antagonism,,P48182,K11G12.2,Acetylcholine receptor subunit beta-type acr-2,artifacts/structures/ACR-2_P48182.pdb,75.62,0.350,CORRECTED:Q9XW79->P48182
UNC-29,WBGene00006754,P34418,nAChR non-alpha subunit; muscle nAChR levamisole-sensitive,heteropentamer with UNC-38/-63/LEV-1,high,https://alphafold.ebi.ac.uk/entry/P34418,7QL5,membrane_embedded,nachr_antagonism,Forms levamisole-sensitive receptor,P48181,T08G11.5,Acetylcholine receptor subunit beta-type unc-29,artifacts/structures/UNC-29_P48181.pdb,83.44,0.448,CORRECTED:P34418->P48181
UNC-38,WBGene00006759,P34903,nAChR alpha subunit; obligate alpha for levamisole receptor,heteropentamer,high,https://alphafold.ebi.ac.uk/entry/P34903,7QL5,membrane_embedded,nachr_antagonism,,Q23022,F21F3.5,Acetylcholine receptor subunit alpha-type unc-38,artifacts/structures/UNC-38_Q23022.pdb,82.88,0.474,CORRECTED:P34903->Q23022
