peptide,category,synthesis_gene,resolved,max_tpm,n_expressing,n_strongly_expressing,top_expressing,predicted_mode,rationale,phenotype_strength,reference
FLP-11,existing_modulator,flp-11,True,985.2,1,1,RIS,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
FLP-1,existing_modulator,flp-1,True,1285.39,1,1,AVK,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
FLP-2,existing_modulator,flp-2,True,47.04,2,1,AIA;RID,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
NLP-12,existing_modulator,nlp-12,True,308.52,1,1,DVA,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
PDF-1,existing_modulator,pdf-1,True,361.74,17,11,RID;AIY;AVB;PVT;SDQ,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
5HT,existing_modulator,tph-1,True,2.87,0,0,,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
DA,existing_modulator,cat-2,True,2.4,0,0,,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
TA,existing_modulator,tdc-1,True,15.24,1,0,RIM,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
OA,existing_modulator,tbh-1,True,2.79,0,0,,(existing — see Phase 0 for measured),,Strong (literature),already in simulator
NLP-22,quiescence,nlp-22,True,0.04,0,0,,N/A (not expressed),Synthesis gene not above threshold; no releaser to audit.,Strong,Nelson et al. 2013 — RIA-NLP-22 drives sleep quiescence
NLP-27,quiescence,nlp-27,True,0.03,0,0,,N/A (not expressed),Synthesis gene not above threshold; no releaser to audit.,Weak,
NLP-37,quiescence,nlp-37,False,0.0,0,0,,N/A (not expressed),Synthesis gene not above threshold; no releaser to audit.,Weak,
NLP-50,quiescence,nlp-50,True,145.05,20,11,PVM;AIY;AIM;RIP;PVT,Mode 1 predicted (readout-blind),"Releaser not in readout, only 0/1 targets in readout; behavioral null expected.",Weak,
FLP-13,quiescence,flp-13,True,128.09,4,2,I5;ALA;MI;M3,Mode 2 predicted (readout-trivial),"Releaser neurons ['M3L', 'M3R'] in 18-neuron readout; ablation would directly zero readout inputs.",Strong,Nath et al. 2016 — ALA-FLP-13 sleep pathway
FLP-24,quiescence,flp-24,True,271.72,5,1,ALA;RIG;HSN;DVC;DVA,Mode 1 predicted (readout-blind),"Releaser not in readout, only 0/1 targets in readout; behavioral null expected.",Moderate,
